Symbol,Date,Open,High,Low,Close,Volume
AAME,21-Dec-2012,2.85,2.85,2.85,2.85,200
AAON,21-Dec-2012,8.8889,9,8.8755,8.9555,386900
AAPL,21-Dec-2012,73.2143,74.2386,72.8914,74.19,21304200
AAWW,21-Dec-2012,43.4,44.45,42.82,44.44,282200
AAXJ,21-Dec-2012,58.79,58.99,58.61,58.97,297600
ABAX,21-Dec-2012,37.33,37.64,36.4,37.2,238000
ABCB,21-Dec-2012,12.53,12.59,12.23,12.48,153600
ABCD,21-Dec-2012,1.1,1.4,1.1,1.4,63800
ABCO,21-Dec-2012,49.01,49.2,48.39,49.1,370300
ABIO,21-Dec-2012,16.38,16.8,15.96,16.38,39500
ABMD,21-Dec-2012,13.56,13.8,13.41,13.66,4813000
ABTL,21-Dec-2012,3.8,4.02,3.8,4,2600
ACAD,21-Dec-2012,4.6,4.67,4.5,4.51,2461700
ACAS,21-Dec-2012,12.2,12.42,12.1,12.34,3324200
ACAT,21-Dec-2012,32.92,34.07,32.28,33.69,524000
ACET,21-Dec-2012,9.75,9.9,9.61,9.9,251500
ACFC,21-Dec-2012,2.62,2.68,2.02,2.02,51000
ACGL,21-Dec-2012,43.35,43.58,43.05,43.11,857800
ACHC,21-Dec-2012,22.78,22.98,21.92,22.79,904600
ACHN,21-Dec-2012,8.6,8.88,8.13,8.8,3210300
ACIW,21-Dec-2012,14.3833,14.6833,14.3833,14.63,511700
ACLS,21-Dec-2012,5.28,5.4,5.04,5.4,995300
ACNB,21-Dec-2012,16.02,16.1,16.01,16.1,5600
ACOR,21-Dec-2012,24.8,25.39,24.51,25.18,1088700
ACPW,21-Dec-2012,3.45,3.55,3.3,3.5,318400
ACRX,21-Dec-2012,3.83,3.95,3.77,3.9,160900
ACTG,21-Dec-2012,24.55,24.55,23.64,24.17,625300
ACTS,21-Dec-2012,1.61,1.63,1.61,1.63,18900
ACUR,21-Dec-2012,2.38,2.4,2.2,2.31,519100
ACWI,21-Dec-2012,47.63,47.93,47.61,47.91,1111400
ACWX,21-Dec-2012,41.48,41.64,41.34,41.64,434300
ACXM,21-Dec-2012,17.9,17.9,17.54,17.8,988300
ADBE,21-Dec-2012,37.55,38,37.35,37.71,7980600
ADES,21-Dec-2012,8.31,8.415,8.205,8.305,146000
ADI,21-Dec-2012,41.89,42.24,41.34,42.19,11347300
ADP,21-Dec-2012,50.755,51.1151,50.2459,50.553,4359100
ADRA,21-Dec-2012,25.75,26,25.75,25.93,1200
ADRD,21-Dec-2012,20.94,21.01,20.84,20.95,9700
ADRE,21-Dec-2012,39.31,39.82,39.12,39.71,59800
ADRU,21-Dec-2012,20.62,20.73,20.62,20.73,500
ADSK,21-Dec-2012,35.32,35.62,34.73,35.49,3889600
ADTN,21-Dec-2012,19.7,19.88,19.26,19.65,2063000
ADUS,21-Dec-2012,6.89,7.07,6.74,6.99,31100
AEGN,21-Dec-2012,21.81,21.95,21.13,21.7,838900
AEGR,21-Dec-2012,24.7,25.74,23.92,25.71,1008300
AEHR,21-Dec-2012,0.81,0.9,0.8,0.8,14000
AEIS,21-Dec-2012,13.41,13.71,12.8,13.7,948000
AEPI,21-Dec-2012,55.43,56.69,55.4,56.32,43900
AETI,21-Dec-2012,4.82,4.89,4.8,4.89,2800
AEY,21-Dec-2012,1.98,2.02,1.92,1.92,24500
AEZS,21-Dec-2012,226,227,219,221,226600
AFAM,21-Dec-2012,20,20,19,19.12,213900
AFSI,21-Dec-2012,14.24,14.35,14.155,14.33,419900
AGEN,21-Dec-2012,3.84,3.91,3.65,3.91,172100
AGII,21-Dec-2012,34.47,34.47,33.37,33.6,201000
AGIIL,21-Dec-2012,24.93,24.96,24.78,24.89,9100
AGNC,21-Dec-2012,31.19,31.4,31.05,31.15,10326800
AGNCP,21-Dec-2012,26,26,25.82,25.92,15100
AGYS,21-Dec-2012,8.37,8.5,8.34,8.45,191800
AHGP,21-Dec-2012,45.54,47.3,45.26,47.29,89500
AHPI,21-Dec-2012,2.48,2.59,2.48,2.48,3400
AIMC,21-Dec-2012,21.24,21.42,20.42,21.39,205100
AINV,21-Dec-2012,8.42,8.47,8.31,8.45,4193100
AIRM,21-Dec-2012,37.1167,38.9633,36.42,37.7467,603700
AIRT,21-Dec-2012,8.25,8.48,8.25,8.48,4500
AIXG,21-Dec-2012,11.65,11.89,11.63,11.89,43100
AKAM,21-Dec-2012,40.79,41.78,40.28,41.76,3003000
AKRX,21-Dec-2012,13.2,13.4,13,13.29,1753200
ALCO,21-Dec-2012,35,37.29,35,37.16,39500
ALGN,21-Dec-2012,28,28.55,27.77,28.4,1833200
ALGT,21-Dec-2012,74.95,76.6,74.72,75.9,185200
ALIM,21-Dec-2012,1.73,1.79,1.6,1.6,26700
ALKS,21-Dec-2012,19.17,19.59,19.04,19.27,1374700
ALLT,21-Dec-2012,17.93,18.12,17.36,17.55,496500
ALNY,21-Dec-2012,18.4,18.4,17.81,18.07,755300
ALOG,21-Dec-2012,73.1,73.81,72.3,73.76,154300
ALOT,21-Dec-2012,9.74,9.98,9.69,9.98,5000
ALSK,21-Dec-2012,2,2.13,1.98,2.13,778500
ALXN,21-Dec-2012,95.08,95.08,92.06,93.88,2297200
AMAG,21-Dec-2012,15.36,15.39,14.69,15.15,197300
AMAT,21-Dec-2012,11.2,11.5,11.02,11.5,31340100
AMBA,21-Dec-2012,9.85,9.9,9.29,9.76,767500
AMCC,21-Dec-2012,8.3,8.3,8.01,8.21,1307900
